position,RW
minutes,37.0
passes_completed,18.0
passes,25.0
dribbles_completed,1.0
dribbles,3.0
passes_completed_short,9.0
passes_short,12.0
passes_completed_medium,7.0
passes_medium,9.0
passes_completed_long,1.0
passes_long,3.0
passes_total_distance,272.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,4.0
passes_switches,2.0
crosses,2.0
corner_kicks,1.0
passes_intercepted,0.0
passes_blocked,1.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,4.0
shots_on_target,2.0
sca,1.0
gca,0.0
xg,0.1
crosses_into_penalty_area,2.0
passes_into_final_third,2.0
passes_into_penalty_area,4.0
progressive_passes,2.0
carry_progressive_distance,147.0
assisted_shots,1.0
fouled,1.0
pens_won,0.0
tackles,2.0
interceptions,1.0
blocks,1.0
tackles_won,2.0
dribble_tackles,0.0
dribbles_vs,2.0
pressures,24.0
pressure_regains,4.0
clearances,0.0
errors,0.0
aerials_won,0.0
aerials_lost,1.0
ball_recoveries,5.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
