position,RM
minutes,79.0
passes_completed,14.0
passes,26.0
dribbles_completed,1.0
dribbles,1.0
passes_completed_short,6.0
passes_short,11.0
passes_completed_medium,4.0
passes_medium,7.0
passes_completed_long,4.0
passes_long,8.0
passes_total_distance,297.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,4.0
passes_switches,0.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,1.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,0.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,2.0
passes_into_penalty_area,0.0
progressive_passes,1.0
carry_progressive_distance,48.0
assisted_shots,0.0
fouled,3.0
pens_won,0.0
tackles,3.0
interceptions,0.0
blocks,1.0
tackles_won,2.0
dribble_tackles,2.0
dribbles_vs,3.0
pressures,40.0
pressure_regains,7.0
clearances,0.0
errors,0.0
aerials_won,0.0
aerials_lost,2.0
ball_recoveries,12.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
