position,CM
minutes,31.0
passes_completed,11.0
passes,17.0
dribbles_completed,2.0
dribbles,4.0
passes_completed_short,6.0
passes_short,7.0
passes_completed_medium,3.0
passes_medium,4.0
passes_completed_long,2.0
passes_long,5.0
passes_total_distance,193.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,5.0
passes_switches,0.0
crosses,3.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,2.0
dispossessed,0.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,1.0
sca,2.0
gca,1.0
xg,0.1
crosses_into_penalty_area,2.0
passes_into_final_third,2.0
passes_into_penalty_area,2.0
progressive_passes,1.0
carry_progressive_distance,165.0
assisted_shots,1.0
fouled,0.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,1.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,1.0
pressures,11.0
pressure_regains,1.0
clearances,0.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,6.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
