position,LM
minutes,26
passes_completed,11
passes,18
dribbles_completed,2
dribbles,4
passes_completed_short,8
passes_short,11
passes_completed_medium,3
passes_medium,3
passes_completed_long,0
passes_long,2
passes_total_distance,135
passes_free_kicks,1
through_balls,0
passes_pressure,3
passes_switches,0
crosses,0
corner_kicks,1
passes_intercepted,1
passes_blocked,1
dispossessed,4
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,0
shots_on_target,0
sca,0
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,0
passes_into_penalty_area,0
progressive_passes,0
carry_progressive_distance,122
assisted_shots,0
fouled,1
pens_won,0
tackles,0
interceptions,0
blocks,0
tackles_won,0
dribble_tackles,0
dribbles_vs,1
pressures,9
pressure_regains,2
clearances,0
errors,0
aerials_won,1
aerials_lost,0
ball_recoveries,6
pens_conceded,0
fouls,0
cards_yellow_red,0
