position,GK
minutes,2538.0
passes_completed,475.0
passes,763.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,68.0
passes_short,70.0
passes_completed_medium,147.0
passes_medium,156.0
passes_completed_long,259.0
passes_long,534.0
passes_total_distance,18404.0
passes_free_kicks,79.0
through_balls,0.0
passes_pressure,53.0
passes_switches,16.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,3.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,4.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,16.0
passes_into_penalty_area,0.0
progressive_passes,0.0
carry_progressive_distance,1018.0
assisted_shots,0.0
fouled,3.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,0.0
pressures,7.0
pressure_regains,1.0
clearances,0.0
errors,1.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,145.0
pens_conceded,1.0
fouls,1.0
cards_yellow_red,0.0
