position,RW
minutes,197.0
passes_completed,52.0
passes,79.0
dribbles_completed,1.0
dribbles,1.0
passes_completed_short,27.0
passes_short,39.0
passes_completed_medium,16.0
passes_medium,22.0
passes_completed_long,7.0
passes_long,11.0
passes_total_distance,884.0
passes_free_kicks,0.0
through_balls,1.0
passes_pressure,21.0
passes_switches,3.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,2.0
passes_blocked,5.0
dispossessed,2.0
goals,3.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,8.0
shots_on_target,6.0
sca,3.0
gca,1.0
xg,1.0
crosses_into_penalty_area,1.0
passes_into_final_third,2.0
passes_into_penalty_area,2.0
progressive_passes,4.0
carry_progressive_distance,119.0
assisted_shots,2.0
fouled,2.0
pens_won,0.0
tackles,0.0
interceptions,2.0
blocks,3.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,2.0
pressures,58.0
pressure_regains,10.0
clearances,1.0
errors,0.0
aerials_won,9.0
aerials_lost,16.0
ball_recoveries,10.0
pens_conceded,0.0
fouls,8.0
cards_yellow_red,0.0
