position,GK
minutes,-0.096
passes_completed,-0.2412
passes,-0.1898
dribbles_completed,-0.6103
dribbles,-0.635
passes_completed_short,-0.6494
passes_short,-0.6883
passes_completed_medium,-0.182
passes_medium,-0.2782
passes_completed_long,0.6435
passes_long,0.866
passes_total_distance,0.0895
passes_free_kicks,0.4354
through_balls,-0.5
passes_pressure,-0.4368
passes_switches,-0.0691
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.734
passes_blocked,-0.797
dispossessed,-0.7273
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6611
shots_on_target,-0.5775
sca,-0.7025
gca,-0.6302
xg,-0.5088
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.6325
passes_into_penalty_area,-0.6507
progressive_passes,-0.772
carry_progressive_distance,-0.5277
assisted_shots,-0.6472
fouled,-0.7199
pens_won,-0.3681
tackles,-0.8512
interceptions,-0.8029
blocks,-0.8928
tackles_won,-0.8371
dribble_tackles,-0.8012
dribbles_vs,-0.7725
pressures,-0.8872
pressure_regains,-0.8931
clearances,-0.5899
errors,-0.5331
aerials_won,-0.6772
aerials_lost,-0.761
ball_recoveries,-0.3396
pens_conceded,0.7569
fouls,-0.8646
cards_yellow_red,-0.3235
