position,RW
minutes,22
passes_completed,3
passes,5
dribbles_completed,0
dribbles,0
passes_completed_short,2
passes_short,3
passes_completed_medium,0
passes_medium,1
passes_completed_long,1
passes_long,1
passes_total_distance,76
passes_free_kicks,0
through_balls,0
passes_pressure,3
passes_switches,1
crosses,0
corner_kicks,0
passes_intercepted,0
passes_blocked,0
dispossessed,0
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,2
shots_on_target,1
sca,2
gca,1
xg,0.2
crosses_into_penalty_area,0
passes_into_final_third,1
passes_into_penalty_area,0
progressive_passes,0
carry_progressive_distance,9
assisted_shots,0
fouled,2
pens_won,0
tackles,1
interceptions,0
blocks,0
tackles_won,1
dribble_tackles,0
dribbles_vs,0
pressures,7
pressure_regains,0
clearances,1
errors,0
aerials_won,4
aerials_lost,4
ball_recoveries,2
pens_conceded,0
fouls,0
cards_yellow_red,0
