position,FW
minutes,75.0
passes_completed,10.0
passes,19.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,4.0
passes_short,9.0
passes_completed_medium,6.0
passes_medium,8.0
passes_completed_long,0.0
passes_long,0.0
passes_total_distance,151.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,3.0
passes_switches,0.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,1.0
dispossessed,3.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,2.0
shots_on_target,1.0
sca,0.0
gca,0.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,1.0
passes_into_penalty_area,4.0
progressive_passes,4.0
carry_progressive_distance,59.0
assisted_shots,0.0
fouled,0.0
pens_won,0.0
tackles,2.0
interceptions,1.0
blocks,4.0
tackles_won,1.0
dribble_tackles,2.0
dribbles_vs,2.0
pressures,24.0
pressure_regains,6.0
clearances,0.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,6.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
