position,CB
minutes,2065.0
passes_completed,748.0
passes,1015.0
dribbles_completed,1.0
dribbles,2.0
passes_completed_short,184.0
passes_short,218.0
passes_completed_medium,342.0
passes_medium,415.0
passes_completed_long,213.0
passes_long,359.0
passes_total_distance,18307.0
passes_free_kicks,28.0
through_balls,0.0
passes_pressure,135.0
passes_switches,44.0
crosses,4.0
corner_kicks,0.0
passes_intercepted,11.0
passes_blocked,12.0
dispossessed,4.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,9.0
shots_on_target,2.0
sca,6.0
gca,0.0
xg,0.4
crosses_into_penalty_area,0.0
passes_into_final_third,71.0
passes_into_penalty_area,5.0
progressive_passes,46.0
carry_progressive_distance,1336.0
assisted_shots,1.0
fouled,15.0
pens_won,0.0
tackles,32.0
interceptions,23.0
blocks,46.0
tackles_won,21.0
dribble_tackles,8.0
dribbles_vs,21.0
pressures,175.0
pressure_regains,63.0
clearances,108.0
errors,0.0
aerials_won,39.0
aerials_lost,18.0
ball_recoveries,313.0
pens_conceded,0.0
fouls,9.0
cards_yellow_red,0.0
