position,GK
passes_completed,-1.4617
passes,-1.3116
dribbles_completed,-1.1537
dribbles,-1.1359
passes_completed_short,-1.9689
passes_short,-2.1406
passes_completed_medium,-1.1904
passes_medium,-1.4756
passes_completed_long,0.5136
passes_long,1.6429
passes_total_distance,-0.5761
passes_free_kicks,2.7022
through_balls,-0.7252
passes_pressure,-2.0933
passes_switches,-0.5037
crosses,-1.0101
corner_kicks,-0.4808
passes_intercepted,-1.8772
passes_blocked,-1.6557
dispossessed,-1.2521
goals,-0.7415
assists,-0.8729
pens_made,-0.2739
pens_att,-0.3089
shots_total,-1.2046
shots_on_target,-0.9871
sca,-1.447
gca,-1.0626
xg,-0.8489
crosses_into_penalty_area,-0.8365
passes_into_final_third,-1.2224
passes_into_penalty_area,-1.219
progressive_passes,-1.7784
carry_progressive_distance,-1.3114
assisted_shots,-1.2854
fouled,-1.4449
pens_won,-0.3695
tackles,-1.803
interceptions,-1.5882
blocks,-2.125
tackles_won,-1.75
dribble_tackles,-1.4707
dribbles_vs,-1.7999
pressures,-2.1244
pressure_regains,-2.2451
clearances,-1.0323
errors,-0.5457
aerials_won,-1.1308
aerials_lost,-1.241
ball_recoveries,-1.0765
pens_conceded,-0.4415
fouls,-1.8668
cards_yellow_red,-0.2618
