position,GK
minutes,-0.7223
passes_completed,-0.7495
passes,-0.7267
dribbles_completed,-0.6858
dribbles,-0.6807
passes_completed_short,-0.8214
passes_short,-0.8429
passes_completed_medium,-0.732
passes_medium,-0.7741
passes_completed_long,-0.3482
passes_long,-0.1758
passes_total_distance,-0.6023
passes_free_kicks,-0.3207
through_balls,-0.5
passes_pressure,-0.7831
passes_switches,-0.5617
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.6943
passes_blocked,-0.8219
dispossessed,-0.7273
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6611
shots_on_target,-0.5775
sca,-0.73
gca,-0.6302
xg,-0.5088
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.6791
passes_into_penalty_area,-0.6507
progressive_passes,-0.7807
carry_progressive_distance,-0.7371
assisted_shots,-0.6747
fouled,-0.7961
pens_won,-0.3681
tackles,-0.8512
interceptions,-0.8029
blocks,-0.8928
tackles_won,-0.8371
dribble_tackles,-0.8012
dribbles_vs,-0.7725
pressures,-0.911
pressure_regains,-0.9168
clearances,-0.6104
errors,-0.5331
aerials_won,-0.6772
aerials_lost,-0.761
ball_recoveries,-0.7393
pens_conceded,-0.4889
fouls,-0.9183
cards_yellow_red,-0.3235
