position,WB
minutes,-1.0134
passes_completed,-0.8431
passes,-0.8848
dribbles_completed,-0.6858
dribbles,-0.6807
passes_completed_short,-0.8277
passes_short,-0.8466
passes_completed_medium,-0.7811
passes_medium,-0.8146
passes_completed_long,-0.7253
passes_long,-0.7327
passes_total_distance,-0.821
passes_free_kicks,-0.5789
through_balls,-0.5
passes_pressure,-0.9015
passes_switches,-0.7259
crosses,-0.6066
corner_kicks,-0.3242
passes_intercepted,-0.8134
passes_blocked,-0.797
dispossessed,-0.7273
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.6611
shots_on_target,-0.5775
sca,-0.73
gca,-0.6302
xg,-0.5088
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.7256
passes_into_penalty_area,-0.6507
progressive_passes,-0.7634
carry_progressive_distance,-0.8554
assisted_shots,-0.6747
fouled,-0.7961
pens_won,-0.3681
tackles,-0.8135
interceptions,-0.8029
blocks,-0.8715
tackles_won,-0.7782
dribble_tackles,-0.7477
dribbles_vs,-0.7916
pressures,-0.8678
pressure_regains,-0.8615
clearances,-0.5694
errors,-0.5331
aerials_won,-0.6402
aerials_lost,-0.7402
ball_recoveries,-0.9074
pens_conceded,-0.4889
fouls,-0.8108
cards_yellow_red,-0.3235
