position,FW
minutes,1005.0
passes_completed,193.0
passes,235.0
dribbles_completed,17.0
dribbles,22.0
passes_completed_short,118.0
passes_short,134.0
passes_completed_medium,62.0
passes_medium,77.0
passes_completed_long,9.0
passes_long,12.0
passes_total_distance,2795.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,67.0
passes_switches,5.0
crosses,14.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,8.0
dispossessed,16.0
goals,3.0
assists,3.0
pens_made,0.0
pens_att,0.0
shots_total,26.0
shots_on_target,11.0
sca,21.0
gca,3.0
xg,5.3
crosses_into_penalty_area,4.0
passes_into_final_third,8.0
passes_into_penalty_area,8.0
progressive_passes,10.0
carry_progressive_distance,652.0
assisted_shots,10.0
fouled,7.0
pens_won,0.0
tackles,3.0
interceptions,3.0
blocks,11.0
tackles_won,2.0
dribble_tackles,0.0
dribbles_vs,4.0
pressures,165.0
pressure_regains,33.0
clearances,0.0
errors,0.0
aerials_won,25.0
aerials_lost,35.0
ball_recoveries,45.0
pens_conceded,0.0
fouls,24.0
cards_yellow_red,0.0
