position,FW
minutes,580.0
passes_completed,82.0
passes,109.0
dribbles_completed,5.0
dribbles,6.0
passes_completed_short,41.0
passes_short,50.0
passes_completed_medium,33.0
passes_medium,44.0
passes_completed_long,5.0
passes_long,6.0
passes_total_distance,1277.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,23.0
passes_switches,1.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,6.0
dispossessed,17.0
goals,2.0
assists,0.0
pens_made,0.0
pens_att,1.0
shots_total,9.0
shots_on_target,6.0
sca,9.0
gca,1.0
xg,1.8
crosses_into_penalty_area,0.0
passes_into_final_third,7.0
passes_into_penalty_area,1.0
progressive_passes,8.0
carry_progressive_distance,178.0
assisted_shots,3.0
fouled,11.0
pens_won,0.0
tackles,4.0
interceptions,0.0
blocks,4.0
tackles_won,3.0
dribble_tackles,1.0
dribbles_vs,6.0
pressures,131.0
pressure_regains,27.0
clearances,1.0
errors,0.0
aerials_won,12.0
aerials_lost,26.0
ball_recoveries,21.0
pens_conceded,0.0
fouls,12.0
cards_yellow_red,0.0
