position,AM,DM
minutes,210.0
passes_completed,118.0
passes,138.0
dribbles_completed,2.0
dribbles,5.0
passes_completed_short,53.0
passes_short,56.0
passes_completed_medium,49.0
passes_medium,55.0
passes_completed_long,14.0
passes_long,23.0
passes_total_distance,2097.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,16.0
passes_switches,3.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,1.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,2.0
shots_on_target,1.0
sca,4.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,6.0
passes_into_penalty_area,1.0
progressive_passes,10.0
carry_progressive_distance,289.0
assisted_shots,0.0
fouled,0.0
pens_won,0.0
tackles,7.0
interceptions,0.0
blocks,0.0
tackles_won,3.0
dribble_tackles,2.0
dribbles_vs,6.0
pressures,30.0
pressure_regains,10.0
clearances,1.0
errors,0.0
aerials_won,3.0
aerials_lost,0.0
ball_recoveries,23.0
pens_conceded,0.0
fouls,4.0
cards_yellow_red,1.0
