position,RW
minutes,45
passes_completed,22
passes,28
dribbles_completed,0
dribbles,0
passes_completed_short,13
passes_short,15
passes_completed_medium,7
passes_medium,9
passes_completed_long,1
passes_long,2
passes_total_distance,340
passes_free_kicks,0
through_balls,0
passes_pressure,1
passes_switches,0
crosses,1
corner_kicks,0
passes_intercepted,0
passes_blocked,2
dispossessed,0
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,0
sca,0
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,1
passes_into_penalty_area,0
progressive_passes,0
carry_progressive_distance,153
assisted_shots,0
fouled,0
pens_won,0
tackles,0
interceptions,0
blocks,0
tackles_won,0
dribble_tackles,0
dribbles_vs,1
pressures,3
pressure_regains,1
clearances,0
errors,0
aerials_won,0
aerials_lost,0
ball_recoveries,2
pens_conceded,0
fouls,0
cards_yellow_red,0
