position,CM
minutes,362.0
passes_completed,191.0
passes,228.0
dribbles_completed,2.0
dribbles,2.0
passes_completed_short,45.0
passes_short,47.0
passes_completed_medium,93.0
passes_medium,106.0
passes_completed_long,51.0
passes_long,72.0
passes_total_distance,4649.0
passes_free_kicks,10.0
through_balls,0.0
passes_pressure,24.0
passes_switches,9.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,3.0
passes_blocked,1.0
dispossessed,1.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,4.0
gca,1.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,13.0
passes_into_penalty_area,0.0
progressive_passes,6.0
carry_progressive_distance,303.0
assisted_shots,3.0
fouled,2.0
pens_won,0.0
tackles,6.0
interceptions,5.0
blocks,6.0
tackles_won,3.0
dribble_tackles,1.0
dribbles_vs,4.0
pressures,45.0
pressure_regains,18.0
clearances,19.0
errors,1.0
aerials_won,6.0
aerials_lost,1.0
ball_recoveries,40.0
pens_conceded,0.0
fouls,5.0
cards_yellow_red,0.0
