position,DM
minutes,60.0
passes_completed,34.0
passes,47.0
dribbles_completed,1.0
dribbles,1.0
passes_completed_short,13.0
passes_short,15.0
passes_completed_medium,13.0
passes_medium,17.0
passes_completed_long,8.0
passes_long,12.0
passes_total_distance,719.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,4.0
passes_switches,4.0
crosses,2.0
corner_kicks,0.0
passes_intercepted,2.0
passes_blocked,2.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,2.0
shots_on_target,1.0
sca,2.0
gca,0.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,1.0
passes_into_penalty_area,2.0
progressive_passes,6.0
carry_progressive_distance,178.0
assisted_shots,1.0
fouled,1.0
pens_won,0.0
tackles,2.0
interceptions,1.0
blocks,2.0
tackles_won,1.0
dribble_tackles,0.0
dribbles_vs,0.0
pressures,12.0
pressure_regains,1.0
clearances,0.0
errors,0.0
aerials_won,2.0
aerials_lost,2.0
ball_recoveries,7.0
pens_conceded,0.0
fouls,1.0
cards_yellow_red,0.0
