position,RM,FW
minutes,16
passes_completed,6
passes,8
dribbles_completed,0
dribbles,0
passes_completed_short,4
passes_short,5
passes_completed_medium,2
passes_medium,3
passes_completed_long,0
passes_long,0
passes_total_distance,91
passes_free_kicks,0
through_balls,0
passes_pressure,1
passes_switches,0
crosses,0
corner_kicks,0
passes_intercepted,0
passes_blocked,0
dispossessed,1
goals,1
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,1
sca,0
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,2
passes_into_penalty_area,0
progressive_passes,2
carry_progressive_distance,25
assisted_shots,0
fouled,0
pens_won,0
tackles,0
interceptions,0
blocks,0
tackles_won,0
dribble_tackles,0
dribbles_vs,1
pressures,3
pressure_regains,1
clearances,2
errors,0
aerials_won,1
aerials_lost,1
ball_recoveries,2
pens_conceded,0
fouls,0
cards_yellow_red,0
