position,AM
minutes,106.0
passes_completed,34.0
passes,48.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,16.0
passes_short,22.0
passes_completed_medium,10.0
passes_medium,15.0
passes_completed_long,3.0
passes_long,4.0
passes_total_distance,545.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,7.0
passes_switches,1.0
crosses,3.0
corner_kicks,0.0
passes_intercepted,3.0
passes_blocked,3.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,0.0
sca,2.0
gca,0.0
xg,0.0
crosses_into_penalty_area,1.0
passes_into_final_third,5.0
passes_into_penalty_area,5.0
progressive_passes,5.0
carry_progressive_distance,71.0
assisted_shots,2.0
fouled,1.0
pens_won,0.0
tackles,3.0
interceptions,0.0
blocks,1.0
tackles_won,1.0
dribble_tackles,2.0
dribbles_vs,3.0
pressures,41.0
pressure_regains,11.0
clearances,1.0
errors,0.0
aerials_won,2.0
aerials_lost,1.0
ball_recoveries,10.0
pens_conceded,0.0
fouls,4.0
cards_yellow_red,0.0
