position,FW
minutes,1998.0
passes_completed,529.0
passes,697.0
dribbles_completed,25.0
dribbles,52.0
passes_completed_short,300.0
passes_short,358.0
passes_completed_medium,162.0
passes_medium,204.0
passes_completed_long,49.0
passes_long,72.0
passes_total_distance,8520.0
passes_free_kicks,0.0
through_balls,4.0
passes_pressure,139.0
passes_switches,20.0
crosses,19.0
corner_kicks,0.0
passes_intercepted,17.0
passes_blocked,33.0
dispossessed,30.0
goals,16.0
assists,8.0
pens_made,1.0
pens_att,1.0
shots_total,78.0
shots_on_target,42.0
sca,74.0
gca,17.0
xg,13.700000000000001
crosses_into_penalty_area,2.0
passes_into_final_third,19.0
passes_into_penalty_area,19.0
progressive_passes,35.0
carry_progressive_distance,1529.0
assisted_shots,30.0
fouled,25.0
pens_won,0.0
tackles,3.0
interceptions,1.0
blocks,13.0
tackles_won,2.0
dribble_tackles,0.0
dribbles_vs,8.0
pressures,191.0
pressure_regains,48.0
clearances,6.0
errors,0.0
aerials_won,5.0
aerials_lost,7.0
ball_recoveries,66.0
pens_conceded,0.0
fouls,15.0
cards_yellow_red,0.0
