position,GK
minutes,990.0
passes_completed,133.0
passes,254.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,4.0
passes_short,4.0
passes_completed_medium,24.0
passes_medium,28.0
passes_completed_long,105.0
passes_long,222.0
passes_total_distance,7128.0
passes_free_kicks,40.0
through_balls,0.0
passes_pressure,18.0
passes_switches,10.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,2.0
passes_blocked,2.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,2.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,16.0
passes_into_penalty_area,0.0
progressive_passes,0.0
carry_progressive_distance,548.0
assisted_shots,0.0
fouled,2.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,1.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,0.0
pressures,0.0
pressure_regains,0.0
clearances,2.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,52.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
