position,RM
minutes,114.0
passes_completed,27.0
passes,35.0
dribbles_completed,4.0
dribbles,4.0
passes_completed_short,14.0
passes_short,19.0
passes_completed_medium,11.0
passes_medium,12.0
passes_completed_long,2.0
passes_long,4.0
passes_total_distance,429.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,7.0
passes_switches,0.0
crosses,2.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,1.0
dispossessed,6.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,0.0
sca,2.0
gca,0.0
xg,0.3
crosses_into_penalty_area,0.0
passes_into_final_third,1.0
passes_into_penalty_area,1.0
progressive_passes,3.0
carry_progressive_distance,261.0
assisted_shots,1.0
fouled,0.0
pens_won,0.0
tackles,2.0
interceptions,1.0
blocks,2.0
tackles_won,2.0
dribble_tackles,1.0
dribbles_vs,1.0
pressures,27.0
pressure_regains,6.0
clearances,1.0
errors,0.0
aerials_won,0.0
aerials_lost,1.0
ball_recoveries,6.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
