position,CM
minutes,110.0
passes_completed,41.0
passes,50.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,15.0
passes_short,17.0
passes_completed_medium,16.0
passes_medium,18.0
passes_completed_long,10.0
passes_long,11.0
passes_total_distance,854.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,12.0
passes_switches,0.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,4.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,0.0
sca,1.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,1.0
passes_into_penalty_area,0.0
progressive_passes,1.0
carry_progressive_distance,76.0
assisted_shots,0.0
fouled,2.0
pens_won,0.0
tackles,2.0
interceptions,2.0
blocks,1.0
tackles_won,2.0
dribble_tackles,1.0
dribbles_vs,1.0
pressures,13.0
pressure_regains,6.0
clearances,5.0
errors,0.0
aerials_won,3.0
aerials_lost,3.0
ball_recoveries,11.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
