position,RW
minutes,79.0
passes_completed,21.0
passes,32.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,13.0
passes_short,19.0
passes_completed_medium,8.0
passes_medium,11.0
passes_completed_long,0.0
passes_long,1.0
passes_total_distance,280.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,9.0
passes_switches,0.0
crosses,1.0
corner_kicks,1.0
passes_intercepted,1.0
passes_blocked,1.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,4.0
shots_on_target,2.0
sca,2.0
gca,0.0
xg,1.1
crosses_into_penalty_area,0.0
passes_into_final_third,1.0
passes_into_penalty_area,1.0
progressive_passes,2.0
carry_progressive_distance,55.0
assisted_shots,0.0
fouled,1.0
pens_won,0.0
tackles,1.0
interceptions,0.0
blocks,1.0
tackles_won,1.0
dribble_tackles,0.0
dribbles_vs,0.0
pressures,11.0
pressure_regains,3.0
clearances,0.0
errors,0.0
aerials_won,1.0
aerials_lost,3.0
ball_recoveries,4.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
