position,GK
minutes,2610.0
passes_completed,705.0
passes,926.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,119.0
passes_short,119.0
passes_completed_medium,342.0
passes_medium,346.0
passes_completed_long,241.0
passes_long,457.0
passes_total_distance,19764.0
passes_free_kicks,33.0
through_balls,0.0
passes_pressure,113.0
passes_switches,10.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,4.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,1.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,4.0
passes_into_penalty_area,0.0
progressive_passes,0.0
carry_progressive_distance,1164.0
assisted_shots,0.0
fouled,2.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,0.0
pressures,4.0
pressure_regains,1.0
clearances,0.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,140.0
pens_conceded,1.0
fouls,1.0
cards_yellow_red,0.0
