position,GK
minutes,3060.0
passes_completed,694.0
passes,1208.0
dribbles_completed,1.0
dribbles,1.0
passes_completed_short,59.0
passes_short,59.0
passes_completed_medium,264.0
passes_medium,266.0
passes_completed_long,369.0
passes_long,881.0
passes_total_distance,25309.0
passes_free_kicks,126.0
through_balls,0.0
passes_pressure,86.0
passes_switches,38.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,5.0
passes_blocked,4.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,2.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,12.0
passes_into_penalty_area,1.0
progressive_passes,0.0
carry_progressive_distance,2145.0
assisted_shots,1.0
fouled,2.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,3.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,3.0
pressures,3.0
pressure_regains,0.0
clearances,6.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,195.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
