position,GK
minutes,2937.0
passes_completed,778.0
passes,1209.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,102.0
passes_short,102.0
passes_completed_medium,238.0
passes_medium,243.0
passes_completed_long,436.0
passes_long,861.0
passes_total_distance,30304.0
passes_free_kicks,132.0
through_balls,0.0
passes_pressure,107.0
passes_switches,25.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,4.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,6.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,50.0
passes_into_penalty_area,0.0
progressive_passes,1.0
carry_progressive_distance,2360.0
assisted_shots,0.0
fouled,8.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,2.0
pressures,3.0
pressure_regains,1.0
clearances,4.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,219.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
