position,CM
minutes,22.0
passes_completed,8.0
passes,12.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,8.0
passes_short,9.0
passes_completed_medium,0.0
passes_medium,2.0
passes_completed_long,0.0
passes_long,1.0
passes_total_distance,90.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,0.0
passes_switches,0.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,0.0
dispossessed,2.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,0.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,0.0
passes_into_penalty_area,1.0
progressive_passes,2.0
carry_progressive_distance,8.0
assisted_shots,0.0
fouled,1.0
pens_won,0.0
tackles,2.0
interceptions,1.0
blocks,0.0
tackles_won,1.0
dribble_tackles,0.0
dribbles_vs,0.0
pressures,4.0
pressure_regains,2.0
clearances,1.0
errors,0.0
aerials_won,0.0
aerials_lost,1.0
ball_recoveries,2.0
pens_conceded,0.0
fouls,1.0
cards_yellow_red,0.0
