position,CB
minutes,1657.0
passes_completed,824.0
passes,1014.0
dribbles_completed,0.0
dribbles,1.0
passes_completed_short,192.0
passes_short,214.0
passes_completed_medium,439.0
passes_medium,487.0
passes_completed_long,187.0
passes_long,302.0
passes_total_distance,19648.0
passes_free_kicks,43.0
through_balls,0.0
passes_pressure,117.0
passes_switches,38.0
crosses,3.0
corner_kicks,0.0
passes_intercepted,4.0
passes_blocked,6.0
dispossessed,2.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,0.0
sca,13.0
gca,0.0
xg,0.2
crosses_into_penalty_area,1.0
passes_into_final_third,63.0
passes_into_penalty_area,12.0
progressive_passes,58.0
carry_progressive_distance,2222.0
assisted_shots,6.0
fouled,8.0
pens_won,0.0
tackles,28.0
interceptions,22.0
blocks,42.0
tackles_won,14.0
dribble_tackles,12.0
dribbles_vs,23.0
pressures,174.0
pressure_regains,56.0
clearances,90.0
errors,0.0
aerials_won,23.0
aerials_lost,14.0
ball_recoveries,179.0
pens_conceded,0.0
fouls,20.0
cards_yellow_red,0.0
