position,GK
minutes,360.0
passes_completed,34.0
passes,79.0
dribbles_completed,1.0
dribbles,1.0
passes_completed_short,0.0
passes_short,0.0
passes_completed_medium,8.0
passes_medium,10.0
passes_completed_long,26.0
passes_long,69.0
passes_total_distance,1723.0
passes_free_kicks,9.0
through_balls,0.0
passes_pressure,15.0
passes_switches,0.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,0.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,0.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,4.0
passes_into_penalty_area,0.0
progressive_passes,0.0
carry_progressive_distance,170.0
assisted_shots,0.0
fouled,0.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,0.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,0.0
pressures,1.0
pressure_regains,0.0
clearances,1.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,16.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
