position,CM
minutes,57.0
passes_completed,29.0
passes,38.0
dribbles_completed,2.0
dribbles,3.0
passes_completed_short,15.0
passes_short,16.0
passes_completed_medium,13.0
passes_medium,13.0
passes_completed_long,1.0
passes_long,7.0
passes_total_distance,472.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,14.0
passes_switches,1.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,3.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,1.0
shots_on_target,1.0
sca,2.0
gca,0.0
xg,0.2
crosses_into_penalty_area,0.0
passes_into_final_third,0.0
passes_into_penalty_area,2.0
progressive_passes,2.0
carry_progressive_distance,104.0
assisted_shots,1.0
fouled,0.0
pens_won,0.0
tackles,4.0
interceptions,0.0
blocks,3.0
tackles_won,1.0
dribble_tackles,2.0
dribbles_vs,4.0
pressures,21.0
pressure_regains,2.0
clearances,0.0
errors,0.0
aerials_won,0.0
aerials_lost,3.0
ball_recoveries,4.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
