position,GK
minutes,2700.0
passes_completed,1012.0
passes,1303.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,285.0
passes_short,285.0
passes_completed_medium,447.0
passes_medium,453.0
passes_completed_long,260.0
passes_long,545.0
passes_total_distance,25497.0
passes_free_kicks,104.0
through_balls,0.0
passes_pressure,130.0
passes_switches,31.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,3.0
passes_blocked,1.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,3.0
gca,0.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,12.0
passes_into_penalty_area,1.0
progressive_passes,1.0
carry_progressive_distance,1581.0
assisted_shots,1.0
fouled,8.0
pens_won,0.0
tackles,0.0
interceptions,0.0
blocks,1.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,0.0
pressures,3.0
pressure_regains,0.0
clearances,3.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,204.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
