position,FW
minutes,631.0
passes_completed,107.0
passes,158.0
dribbles_completed,3.0
dribbles,8.0
passes_completed_short,69.0
passes_short,87.0
passes_completed_medium,27.0
passes_medium,50.0
passes_completed_long,4.0
passes_long,9.0
passes_total_distance,1406.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,33.0
passes_switches,0.0
crosses,9.0
corner_kicks,0.0
passes_intercepted,4.0
passes_blocked,5.0
dispossessed,3.0
goals,2.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,10.0
shots_on_target,5.0
sca,14.0
gca,2.0
xg,1.8
crosses_into_penalty_area,3.0
passes_into_final_third,5.0
passes_into_penalty_area,5.0
progressive_passes,9.0
carry_progressive_distance,212.0
assisted_shots,8.0
fouled,4.0
pens_won,0.0
tackles,3.0
interceptions,1.0
blocks,8.0
tackles_won,2.0
dribble_tackles,0.0
dribbles_vs,9.0
pressures,140.0
pressure_regains,33.0
clearances,6.0
errors,0.0
aerials_won,10.0
aerials_lost,22.0
ball_recoveries,25.0
pens_conceded,0.0
fouls,13.0
cards_yellow_red,0.0
